response_id,campaign_id,customer_id,response_date,response_type,order_id
1,7,196,2024-07-29 00:00:00,Unsubscribed,
2,15,939,2024-11-24 00:00:00,Clicked,
3,13,1439,2024-10-03 00:00:00,Clicked,
4,12,4,2023-11-17 00:00:00,Opened,
5,26,184,2023-08-07 00:00:00,Clicked,
6,11,1980,2024-05-15 00:00:00,Clicked,
7,23,1179,2024-01-30 00:00:00,Opened,
8,1,1142,2023-06-17 00:00:00,Opened,
9,19,576,2023-12-25 00:00:00,Purchased,
10,24,1390,2024-10-24 00:00:00,Unsubscribed,
11,2,1544,2023-07-19 00:00:00,Unsubscribed,
12,20,1679,2023-05-15 00:00:00,Purchased,
13,4,1624,2024-10-24 00:00:00,Purchased,
14,24,107,2024-10-23 00:00:00,Unsubscribed,
15,13,950,2024-08-23 00:00:00,Unsubscribed,
16,14,1784,2024-01-11 00:00:00,Unsubscribed,
17,22,55,2023-08-14 00:00:00,Clicked,
18,8,1298,2023-10-03 00:00:00,Clicked,
19,9,1588,2023-12-07 00:00:00,Clicked,
20,25,494,2023-12-30 00:00:00,Unsubscribed,
21,26,1191,2023-08-24 00:00:00,Unsubscribed,
22,21,1201,2024-07-03 00:00:00,Clicked,
23,1,513,2023-06-25 00:00:00,Purchased,1670.0
24,1,1413,2023-06-27 00:00:00,Opened,
25,9,1081,2023-11-19 00:00:00,Unsubscribed,
26,26,1095,2023-10-01 00:00:00,Unsubscribed,
27,29,1210,2024-11-17 00:00:00,Purchased,
28,20,1579,2023-06-14 00:00:00,Opened,
29,20,497,2023-05-27 00:00:00,Clicked,
30,24,1215,2024-09-02 00:00:00,Clicked,
31,10,147,2024-04-10 00:00:00,Clicked,
32,16,1220,2024-01-11 00:00:00,Opened,
33,15,1639,2024-11-21 00:00:00,Opened,
34,3,314,2023-06-06 00:00:00,Clicked,
35,2,1735,2023-09-10 00:00:00,Clicked,
36,15,1155,2024-11-22 00:00:00,Purchased,
37,24,1377,2024-09-23 00:00:00,Purchased,1171.0
38,10,868,2024-03-24 00:00:00,Opened,
39,29,579,2024-12-21 00:00:00,Opened,
40,20,725,2023-06-21 00:00:00,Clicked,
41,6,987,2024-09-12 00:00:00,Purchased,
42,27,1429,2024-06-01 00:00:00,Unsubscribed,
43,16,496,2023-12-29 00:00:00,Unsubscribed,
44,20,1312,2023-05-22 00:00:00,Opened,
45,6,1514,2024-09-16 00:00:00,Purchased,
46,26,1023,2023-08-28 00:00:00,Purchased,
47,19,1682,2023-12-28 00:00:00,Opened,
48,18,625,2024-03-12 00:00:00,Opened,
49,19,693,2023-12-25 00:00:00,Opened,
50,11,127,2024-03-20 00:00:00,Purchased,1787.0
51,4,1041,2024-10-05 00:00:00,Clicked,
52,16,742,2023-12-15 00:00:00,Opened,
53,22,1181,2023-07-06 00:00:00,Clicked,
54,15,434,2024-12-04 00:00:00,Purchased,7027.0
55,3,1925,2023-06-15 00:00:00,Opened,
56,12,1132,2023-12-04 00:00:00,Unsubscribed,
57,17,1094,2023-11-05 00:00:00,Purchased,2984.0
58,21,1471,2024-08-11 00:00:00,Unsubscribed,
59,29,548,2024-12-11 00:00:00,Opened,
60,7,1285,2024-07-06 00:00:00,Clicked,
61,7,1405,2024-08-23 00:00:00,Purchased,
