movement_id,product_id,movement_type,quantity,movement_date,reference_id,warehouse_location,notes
1,213,Purchase,469,2024-08-20 00:00:00,,Warehouse_D,Purchase transaction
2,198,Adjustment,-7,2023-02-16 00:00:00,,Warehouse_D,Adjustment transaction
3,397,Adjustment,-3,2023-11-16 00:00:00,,Warehouse_A,Adjustment transaction
4,375,Sale,-7,2024-10-13 00:00:00,6675.0,Warehouse_A,Sale transaction
5,346,Adjustment,8,2023-04-12 00:00:00,,Warehouse_D,Adjustment transaction
6,336,Return,4,2024-02-21 00:00:00,,Warehouse_B,Return transaction
7,412,Purchase,99,2023-08-26 00:00:00,,Warehouse_C,Purchase transaction
8,121,Purchase,481,2024-03-31 00:00:00,,Warehouse_A,Purchase transaction
9,172,Adjustment,-6,2024-09-21 00:00:00,,Warehouse_C,Adjustment transaction
10,312,Purchase,260,2023-01-27 00:00:00,,Warehouse_D,Purchase transaction
11,399,Sale,-20,2023-10-17 00:00:00,509.0,Warehouse_C,Sale transaction
12,254,Purchase,355,2023-05-07 00:00:00,,Warehouse_B,Purchase transaction
13,73,Return,3,2023-12-11 00:00:00,,Warehouse_A,Return transaction
14,107,Adjustment,-9,2023-08-21 00:00:00,,Warehouse_D,Adjustment transaction
15,266,Sale,-9,2024-04-05 00:00:00,1621.0,Warehouse_A,Sale transaction
16,276,Return,4,2024-03-15 00:00:00,,Warehouse_D,Return transaction
17,353,Purchase,464,2024-11-28 00:00:00,,Warehouse_A,Purchase transaction
18,387,Purchase,191,2023-09-10 00:00:00,,Warehouse_C,Purchase transaction
19,304,Adjustment,-5,2024-12-27 00:00:00,,Warehouse_C,Adjustment transaction
20,265,Sale,-12,2024-11-22 00:00:00,6595.0,Warehouse_C,Sale transaction
21,345,Purchase,367,2024-12-27 00:00:00,,Warehouse_A,Purchase transaction
22,338,Purchase,487,2023-08-20 00:00:00,,Warehouse_B,Purchase transaction
23,63,Adjustment,-7,2024-12-26 00:00:00,,Warehouse_A,Adjustment transaction
24,202,Purchase,426,2023-04-20 00:00:00,,Warehouse_C,Purchase transaction
25,391,Purchase,102,2024-10-31 00:00:00,,Warehouse_C,Purchase transaction
26,66,Purchase,140,2024-11-19 00:00:00,,Warehouse_B,Purchase transaction
27,278,Return,4,2024-11-11 00:00:00,,Warehouse_A,Return transaction
28,215,Adjustment,-10,2024-12-17 00:00:00,,Warehouse_C,Adjustment transaction
29,89,Sale,-2,2023-06-13 00:00:00,3682.0,Warehouse_B,Sale transaction
30,75,Return,1,2024-08-24 00:00:00,,Warehouse_D,Return transaction
31,304,Adjustment,-9,2024-11-03 00:00:00,,Warehouse_A,Adjustment transaction
32,478,Sale,-16,2024-05-05 00:00:00,6774.0,Warehouse_C,Sale transaction
33,298,Return,2,2023-05-01 00:00:00,,Warehouse_A,Return transaction
34,206,Purchase,265,2024-05-09 00:00:00,,Warehouse_A,Purchase transaction
35,354,Purchase,360,2023-10-25 00:00:00,,Warehouse_A,Purchase transaction
36,111,Purchase,239,2023-06-23 00:00:00,,Warehouse_C,Purchase transaction
37,173,Sale,-4,2024-08-06 00:00:00,1821.0,Warehouse_D,Sale transaction
38,66,Sale,-1,2024-02-14 00:00:00,2034.0,Warehouse_D,Sale transaction
39,394,Sale,-3,2023-08-23 00:00:00,3303.0,Warehouse_C,Sale transaction
40,52,Return,4,2024-03-23 00:00:00,,Warehouse_A,Return transaction
41,458,Return,2,2024-03-02 00:00:00,,Warehouse_D,Return transaction
42,333,Return,4,2024-04-01 00:00:00,,Warehouse_C,Return transaction
43,304,Return,1,2023-07-01 00:00:00,,Warehouse_B,Return transaction
44,367,Return,4,2023-01-23 00:00:00,,Warehouse_B,Return transaction
45,37,Sale,-2,2023-01-29 00:00:00,3817.0,Warehouse_B,Sale transaction
46,201,Return,3,2023-11-05 00:00:00,,Warehouse_A,Return transaction
47,204,Return,2,2024-02-23 00:00:00,,Warehouse_A,Return transaction
48,491,Purchase,410,2023-06-26 00:00:00,,Warehouse_B,Purchase transaction
49,211,Sale,-15,2023-04-08 00:00:00,6161.0,Warehouse_A,Sale transaction
50,231,Adjustment,10,2023-04-13 00:00:00,,Warehouse_C,Adjustment transaction
51,97,Sale,-14,2023-06-24 00:00:00,259.0,Warehouse_C,Sale transaction
52,242,Adjustment,0,2023-08-18 00:00:00,,Warehouse_A,Adjustment transaction
53,365,Purchase,198,2023-10-04 00:00:00,,Warehouse_D,Purchase transaction
54,85,Sale,-5,2023-03-13 00:00:00,489.0,Warehouse_B,Sale transaction
55,87,Return,1,2024-01-17 00:00:00,,Warehouse_D,Return transaction
56,241,Sale,-18,2024-02-23 00:00:00,1708.0,Warehouse_B,Sale transaction
57,61,Sale,-12,2023-08-22 00:00:00,7292.0,Warehouse_D,Sale transaction
58,454,Adjustment,3,2023-10-26 00:00:00,,Warehouse_D,Adjustment transaction
59,390,Sale,-2,2023-09-28 00:00:00,3451.0,Warehouse_A,Sale transaction
60,383,Sale,-13,2024-03-17 00:00:00,1615.0,Warehouse_A,Sale transaction
61,277,Return,2,2023-02-12 00:00:00,,Warehouse_A,Return transaction
62,336,Adjustment,-10,2024-12-31 00:00:00,,Warehouse_B,Adjustment transaction
63,328,Return,1,2024-10-24 00:00:00,,Warehouse_B,Return transaction
