order_item_id,order_id,product_id,quantity,unit_price,discount_percent,line_total
1,1,458,5,993.09,10,4468.9
2,1,243,2,142.34,20,227.74
3,2,351,3,348.22,5,992.43
4,2,167,5,457.66,15,1945.06
5,3,488,3,375.65,10,1014.25
6,3,131,2,784.97,10,1412.95
7,4,486,4,720.99,0,2883.96
8,4,412,5,611.04,10,2749.68
9,4,234,5,667.14,10,3002.13
10,4,444,4,135.43,10,487.55
11,5,367,2,671.94,15,1142.3
12,6,23,5,985.76,15,4189.48
13,6,105,5,846.0,0,4230.0
14,7,203,1,110.41,0,110.41
15,7,268,3,49.5,5,141.07
16,7,230,4,75.72,0,302.88
17,8,330,2,680.5,15,1156.85
18,8,218,3,157.71,10,425.82
19,8,2,3,95.08,0,285.24
20,8,44,2,581.91,15,989.25
21,8,312,5,967.86,0,4839.3
22,9,393,1,519.98,10,467.98
23,9,377,2,247.13,0,494.26
24,9,156,3,751.81,0,2255.43
25,10,470,2,98.7,5,187.53
26,11,464,5,176.21,0,881.05
27,12,31,5,192.42,0,962.1
28,12,41,4,648.23,0,2592.92
29,13,223,2,709.29,0,1418.58
30,13,416,2,264.75,5,503.02
31,14,190,1,428.24,10,385.42
32,14,39,4,790.04,5,3002.15
33,15,167,2,457.66,10,823.79
34,16,495,1,1053.25,5,1000.59
35,16,263,3,586.04,20,1406.5
36,17,434,2,568.64,0,1137.28
37,18,303,3,117.18,15,298.81
38,18,11,1,793.06,15,674.1
39,18,273,2,403.85,0,807.7
40,19,431,1,23.75,5,22.56
41,19,406,4,709.54,0,2838.16
42,19,128,5,445.49,5,2116.08
43,19,253,1,636.51,0,636.51
44,19,113,4,331.92,5,1261.3
45,20,438,5,712.34,0,3561.7
46,20,476,5,112.72,5,535.42
47,21,202,3,834.21,5,2377.5
48,22,39,3,790.04,20,1896.1
49,22,480,2,755.2,0,1510.4
50,22,42,5,867.92,20,3471.68
51,23,29,4,169.1,15,574.94
52,23,151,3,896.59,5,2555.28
53,24,102,4,497.18,0,1988.72
54,24,351,3,348.22,15,887.96
55,24,122,5,839.8,15,3569.15
56,25,64,1,540.53,15,459.45
57,26,317,2,683.46,0,1366.92
58,26,293,4,103.56,10,372.82
59,27,298,3,504.04,0,1512.12
60,28,379,3,117.06,20,280.94
61,28,247,2,864.56,0,1729.12
62,29,150,1,91.31,15,77.61
63,29,245,3,946.07,20,2270.57
64,30,465,5,379.86,20,1519.44
65,31,114,2,456.32,0,912.64
66,32,230,2,75.72,15,128.72
67,32,423,3,608.35,10,1642.55
68,32,125,2,479.51,0,959.02
69,33,343,3,223.84,0,671.52
70,33,356,5,1020.0,20,4080.0
71,33,145,3,189.26,15,482.61
72,33,300,1,855.85,15,727.47
73,34,290,5,1031.24,0,5156.2
74,34,368,5,531.11,0,2655.55
75,35,280,1,391.42,5,371.85
76,36,115,2,124.11,20,198.58
77,37,329,3,93.22,15,237.71
78,37,251,2,436.41,10,785.54
79,37,127,4,239.83,0,959.32
80,38,125,1,479.51,0,479.51
81,39,200,2,316.07,0,632.14
82,39,344,2,908.74,0,1817.48
83,40,480,1,755.2,20,604.16
84,40,158,2,260.6,10,469.08
85,41,270,1,378.19,10,340.37
86,41,45,1,336.42,5,319.6
87,41,138,3,596.51,10,1610.58
88,41,389,1,472.62,5,448.99
89,41,372,3,302.91,0,908.73
90,42,437,5,438.48,0,2192.4
91,42,51,3,666.15,15,1698.68
92,42,384,1,359.13,0,359.13
93,42,225,5,599.8,10,2699.1
94,43,290,4,1031.24,15,3506.22
95,43,467,2,968.3,20,1549.28
96,44,285,1,354.65,0,354.65
97,45,280,2,391.42,20,626.27
98,45,388,1,210.19,10,189.17
99,46,483,5,35.39,0,176.95
100,46,60,3,789.94,5,2251.33
101,47,15,3,374.6,0,1123.8
102,48,119,2,397.92,15,676.46
103,48,266,1,357.03,10,321.33
104,49,19,3,111.42,10,300.83
105,49,281,2,297.83,20,476.53
106,49,62,4,1077.0,5,4092.6
107,50,379,2,117.06,0,234.12
108,51,319,3,366.4,15,934.32
109,51,118,1,34.17,10,30.75
110,52,311,3,418.62,15,1067.48
111,52,413,2,779.76,20,1247.62
112,52,346,2,196.67,0,393.34
113,52,238,3,557.26,15,1421.01
114,52,5,2,110.6,0,221.2
115,53,99,3,70.0,20,168.0
116,53,322,1,87.39,5,83.02
117,53,106,5,1064.23,20,4256.92
118,53,276,5,67.53,20,270.12
119,54,28,3,848.51,0,2545.53
120,55,415,5,170.27,10,766.22
121,56,102,3,497.18,0,1491.54
122,57,119,1,397.92,15,338.23
123,57,50,2,90.84,5,172.6
124,58,383,1,356.27,20,285.02
125,58,399,4,78.61,5,298.72
126,58,249,3,187.21,20,449.3
127,58,393,3,519.98,10,1403.95
128,58,23,3,985.76,15,2513.69
129,59,349,4,100.97,20,323.1
130,59,269,5,313.94,15,1334.24
131,59,62,4,1077.0,10,3877.2
132,59,194,5,666.44,0,3332.2
133,59,135,4,491.45,15,1670.93
134,60,299,3,264.68,15,674.93
135,60,365,3,818.43,0,2455.29
136,60,491,2,583.35,5,1108.36
137,60,424,1,109.24,15,92.85
138,61,296,5,353.92,15,1504.16
139,62,249,1,187.21,5,177.85
140,63,69,2,675.55,20,1080.88
141,63,26,4,320.01,0,1280.04
142,63,53,3,96.88,0,290.64
143,63,246,3,447.85,0,1343.55
144,63,110,4,303.43,15,1031.66
145,64,402,3,783.06,0,2349.18
146,65,199,3,668.29,0,2004.87
147,65,132,2,646.64,15,1099.29
148,66,247,4,864.56,0,3458.24
149,66,196,3,712.42,0,2137.26
150,66,59,1,1108.6,10,997.74
151,66,89,3,93.79,0,281.37
152,66,332,2,370.43,15,629.73
153,67,362,2,163.43,0,326.86
154,67,236,3,30.6,20,73.44
155,68,382,3,213.18,15,543.61
156,68,21,1,329.9,0,329.9
157,69,153,1,268.45,15,228.18
158,69,252,1,74.69,10,67.22
159,70,417,1,714.8,15,607.58
160,71,431,3,23.75,15,60.56
161,72,157,5,851.49,0,4257.45
162,73,323,3,1108.18,10,2992.09
163,73,470,1,98.7,15,83.9
164,74,162,1,788.35,0,788.35
165,74,246,4,447.85,15,1522.69
166,74,273,2,403.85,0,807.7
167,75,325,5,311.31,5,1478.72
168,76,286,4,600.16,0,2400.64
169,76,280,3,391.42,15,998.12
170,76,341,3,646.59,0,1939.77
171,77,450,3,67.74,20,162.58
172,78,316,3,715.64,5,2039.57
173,78,272,4,75.27,10,270.97
174,79,459,3,342.4,10,924.48
175,80,174,3,382.0,10,1031.4
176,80,485,4,604.08,0,2416.32
177,80,317,2,683.46,0,1366.92
178,80,157,3,851.49,0,2554.47
179,81,29,1,169.1,5,160.64
180,82,64,2,540.53,5,1027.01
181,83,323,5,1108.18,5,5263.86
182,83,285,4,354.65,5,1347.67
183,84,395,4,94.03,15,319.7
184,84,417,1,714.8,10,643.32
185,84,278,2,608.56,0,1217.12
186,84,174,2,382.0,10,687.6
187,85,17,4,307.28,0,1229.12
188,85,273,4,403.85,5,1534.63
189,85,46,3,603.64,0,1810.92
190,86,87,4,202.15,10,727.74
191,86,125,3,479.51,15,1222.75
192,86,174,2,382.0,0,764.0
193,87,205,5,264.33,0,1321.65
194,87,137,4,386.96,5,1470.45
195,88,446,1,515.26,0,515.26
196,88,175,4,734.07,0,2936.28
197,89,275,2,175.2,0,350.4
198,89,260,2,620.93,0,1241.86
199,89,119,5,397.92,20,1591.68
200,90,153,5,268.45,5,1275.14
201,91,290,5,1031.24,15,4382.77
202,92,215,4,584.94,15,1988.8
203,93,361,4,711.74,0,2846.96
204,93,335,5,436.28,20,1745.12
205,94,381,4,74.82,15,254.39
206,95,40,3,270.01,0,810.03
207,96,334,3,680.98,10,1838.65
208,97,455,2,547.15,20,875.44
209,97,399,1,78.61,5,74.68
210,97,168,1,623.46,0,623.46
211,98,272,5,75.27,0,376.35
212,98,333,4,93.34,15,317.36
213,98,286,4,600.16,15,2040.54
214,98,463,5,31.2,0,156.0
215,99,249,1,187.21,5,177.85
216,100,59,3,1108.6,0,3325.8
217,100,274,5,366.97,0,1834.85
218,101,451,1,653.0,0,653.0
219,102,472,4,1002.34,0,4009.36
220,102,301,4,69.57,15,236.54
221,102,224,2,381.94,15,649.3
222,102,479,5,274.57,0,1372.85
223,103,363,5,595.33,5,2827.82
224,104,23,2,985.76,15,1675.79
225,104,360,1,164.97,5,156.72
226,105,381,3,74.82,5,213.24
227,105,252,3,74.69,0,224.07
228,105,386,3,253.92,0,761.76
229,105,3,1,518.63,0,518.63
230,105,365,4,818.43,0,3273.72
231,106,440,4,242.42,0,969.68
232,107,335,4,436.28,15,1483.35
233,108,343,4,223.84,10,805.82
234,109,392,1,1041.72,0,1041.72
235,109,80,2,189.59,5,360.22
236,109,163,2,653.2,10,1175.76
237,109,314,4,592.32,15,2013.89
238,110,325,4,311.31,5,1182.98
239,111,125,5,479.51,0,2397.55
240,111,430,4,458.81,0,1835.24
241,111,48,2,32.86,10,59.15
242,112,372,2,302.91,20,484.66
243,112,482,5,492.1,20,1968.4
244,113,349,5,100.97,0,504.85
245,113,441,5,386.2,0,1931.0
246,114,146,1,470.67,5,447.14
247,115,11,3,793.06,15,2022.3
248,115,462,1,328.83,5,312.39
249,116,329,4,93.22,0,372.88
250,116,176,3,107.54,10,290.36
251,117,18,4,685.04,0,2740.16
252,117,88,3,673.17,20,1615.61
253,118,124,4,298.64,0,1194.56
254,119,379,1,117.06,0,117.06
255,120,5,2,110.6,0,221.2
256,121,295,2,462.64,20,740.22
257,121,378,3,609.72,15,1554.79
258,121,97,1,393.76,0,393.76
259,122,158,4,260.6,0,1042.4
260,123,208,4,517.29,15,1758.79
261,123,185,4,806.27,0,3225.08
262,123,97,2,393.76,15,669.39
263,124,132,3,646.64,0,1939.92
264,124,247,1,864.56,0,864.56
265,125,349,4,100.97,15,343.3
266,125,202,2,834.21,0,1668.42
267,126,9,2,147.77,5,280.76
268,127,82,2,614.87,15,1045.28
269,128,402,2,783.06,10,1409.51
270,129,316,2,715.64,0,1431.28
271,130,157,3,851.49,0,2554.47
272,130,466,5,434.58,0,2172.9
273,131,248,5,81.26,20,325.04
274,132,75,4,89.56,20,286.59
275,133,428,2,577.96,5,1098.12
276,133,199,3,668.29,0,2004.87
277,133,456,2,696.02,15,1183.23
278,134,349,1,100.97,0,100.97
279,134,295,4,462.64,15,1572.98
280,135,396,4,586.79,0,2347.16
281,135,197,3,506.39,15,1291.29
282,135,74,5,83.61,5,397.15
283,135,1,1,1116.32,20,893.06
284,136,85,3,311.21,0,933.63
285,136,441,1,386.2,5,366.89
286,137,414,3,379.15,10,1023.7
287,138,241,5,725.43,0,3627.15
288,138,398,1,565.36,20,452.29
289,139,124,5,298.64,0,1493.2
290,140,324,2,1033.48,20,1653.57
291,141,233,3,237.15,20,569.16
292,141,190,3,428.24,0,1284.72
293,141,386,2,253.92,0,507.84
294,142,151,5,896.59,0,4482.95
295,143,102,1,497.18,0,497.18
296,143,226,1,627.34,0,627.34
297,143,271,3,290.79,0,872.37
298,144,409,1,54.34,5,51.62
299,145,14,1,1142.22,10,1028.0
300,145,296,3,353.92,15,902.5
301,145,170,3,644.32,5,1836.31
302,146,44,2,581.91,10,1047.44
303,146,200,1,316.07,20,252.86
304,147,277,3,776.79,0,2330.37
305,147,35,1,708.85,10,637.96
306,148,284,1,475.28,5,451.52
307,149,125,1,479.51,0,479.51
308,150,148,2,267.64,20,428.22
309,150,395,3,94.03,0,282.09
310,151,495,2,1053.25,0,2106.5
311,152,496,4,220.85,5,839.23
312,153,427,3,316.58,10,854.77
313,154,130,5,804.44,20,3217.76
314,154,57,3,690.32,0,2070.96
315,155,309,4,486.02,5,1846.88
316,155,124,2,298.64,0,597.28
317,155,60,4,789.94,10,2843.78
318,156,177,3,555.13,20,1332.31
319,156,117,5,1077.08,5,5116.13
320,156,191,4,840.65,0,3362.6
321,157,395,2,94.03,0,188.06
322,157,3,5,518.63,5,2463.49
323,158,482,1,492.1,5,467.5
324,159,296,2,353.92,0,707.84
325,159,168,4,623.46,0,2493.84
326,159,466,1,434.58,5,412.85
327,160,454,2,62.08,0,124.16
328,161,316,3,715.64,0,2146.92
329,162,357,5,589.5,0,2947.5
330,162,421,1,869.28,0,869.28
331,163,135,5,491.45,10,2211.52
332,163,447,5,628.4,0,3142.0
333,164,444,1,135.43,0,135.43
334,164,288,1,171.87,0,171.87
335,165,203,5,110.41,15,469.24
336,166,316,1,715.64,10,644.08
337,167,395,4,94.03,15,319.7
338,167,115,2,124.11,10,223.4
339,168,46,5,603.64,20,2414.56
340,168,180,5,812.35,0,4061.75
341,168,239,3,1031.45,0,3094.35
342,168,182,2,479.12,10,862.42
343,169,55,1,247.81,5,235.42
344,170,126,1,626.2,10,563.58
345,170,297,4,635.15,0,2540.6
346,171,131,5,784.97,5,3728.61
347,171,217,1,240.57,0,240.57
348,171,237,3,88.39,0,265.17
349,172,410,3,534.42,10,1442.93
350,173,475,5,803.37,15,3414.32
351,173,401,2,775.29,15,1317.99
352,173,216,1,655.49,0,655.49
353,173,295,3,462.64,0,1387.92
354,174,345,5,934.8,0,4674.0
355,174,87,2,202.15,10,363.87
356,174,305,4,77.59,0,310.36
357,174,413,2,779.76,0,1559.52
358,175,122,4,839.8,10,3023.28
359,176,208,5,517.29,0,2586.45
360,176,179,1,595.6,0,595.6
361,176,229,2,822.85,0,1645.7
362,176,482,3,492.1,0,1476.3
363,176,359,2,635.32,10,1143.58
364,177,1,2,1116.32,0,2232.64
365,178,380,2,625.12,15,1062.7
366,179,489,1,393.17,20,314.54
367,179,331,5,165.09,0,825.45
368,179,458,5,993.09,20,3972.36
369,179,439,4,586.19,15,1993.05
