order_id,customer_id,order_date,ship_date,delivery_date,order_status,payment_method,shipping_cost,discount_amount,tax_amount,total_amount,shipping_address_city,shipping_address_state,shipping_address_country
1,990,2024-12-12 00:00:00,2024-12-15 00:00:00,2024-12-19 00:00:00,Delivered,Credit Card,22.28,0.0,375.73,5094.65,Dallas,NY,USA
2,549,2023-12-27 00:00:00,2023-12-28 00:00:00,,Shipped,Google Pay,24.43,40.7,235.0,3156.22,Phoenix,NC,USA
3,1628,2023-12-29 00:00:00,,,Cancelled,Bank Transfer,5.03,0.0,194.18,2626.41,San Antonio,PA,Canada
4,162,2023-04-08 00:00:00,2023-04-10 00:00:00,,Shipped,Google Pay,10.21,0.0,729.87,9863.4,New York,GA,USA
5,804,2024-11-16 00:00:00,2024-11-17 00:00:00,,Shipped,Bank Transfer,17.05,19.92,91.38,1230.81,Phoenix,OH,USA
6,1008,2024-04-29 00:00:00,2024-04-30 00:00:00,2024-05-06 00:00:00,Delivered,Credit Card,5.23,41.44,673.56,9056.83,San Jose,TX,USA
7,1469,2023-11-15 00:00:00,2023-11-17 00:00:00,,Shipped,Debit Card,7.34,0.92,44.35,605.13,San Jose,TX,UK
8,1238,2024-12-29 00:00:00,,,Cancelled,Bank Transfer,7.99,26.98,615.72,8293.19,Phoenix,CA,UK
9,429,2024-08-25 00:00:00,2024-08-27 00:00:00,,Shipped,Bank Transfer,20.38,0.0,257.41,3495.46,San Antonio,NC,USA
10,1498,2023-02-10 00:00:00,2023-02-13 00:00:00,2023-02-20 00:00:00,Delivered,Apple Pay,23.31,0.0,15.0,225.84,San Diego,CA,UK
11,1402,2023-10-13 00:00:00,2023-10-16 00:00:00,2023-10-25 00:00:00,Delivered,Debit Card,15.68,19.59,70.48,947.62,San Diego,FL,UK
12,1246,2024-12-15 00:00:00,2024-12-16 00:00:00,,Shipped,Bank Transfer,24.42,0.0,284.4,3863.84,Chicago,IL,UK
13,896,2024-12-27 00:00:00,2024-12-28 00:00:00,2025-01-02 00:00:00,Delivered,Debit Card,11.85,0.0,153.73,2087.18,Philadelphia,PA,USA
14,114,2023-07-14 00:00:00,,,Pending,Google Pay,11.0,0.0,271.01,3669.58,New York,TX,USA
15,1860,2024-06-03 00:00:00,2024-06-05 00:00:00,2024-06-14 00:00:00,Delivered,Google Pay,5.85,0.0,65.9,895.54,Houston,GA,Australia
16,1144,2024-05-09 00:00:00,2024-05-12 00:00:00,2024-05-16 00:00:00,Delivered,Credit Card,5.82,0.0,192.57,2605.48,Los Angeles,NY,USA
17,1228,2024-12-17 00:00:00,2024-12-20 00:00:00,2024-12-26 00:00:00,Delivered,Debit Card,22.31,9.98,90.98,1240.59,San Jose,OH,UK
18,1661,2024-02-04 00:00:00,2024-02-05 00:00:00,,Shipped,Google Pay,6.92,0.0,142.45,1929.98,Chicago,CA,Canada
19,694,2024-07-28 00:00:00,2024-07-30 00:00:00,2024-08-03 00:00:00,Delivered,Credit Card,21.01,32.91,549.97,7412.68,Dallas,GA,USA
