traffic_id,visit_date,customer_id,session_id,page_views,session_duration_minutes,traffic_source,device_type,converted,order_id
1,2024-08-13,553.0,SES000001,8,51,Social,Desktop,False,
2,2023-06-19,1611.0,SES000002,8,27,Organic,Desktop,False,
3,2024-08-04,,SES000003,18,55,Organic,Desktop,False,
4,2024-10-05,,SES000004,4,49,Direct,Tablet,False,
5,2024-08-10,,SES000005,16,51,Referral,Tablet,False,
6,2024-07-07,1570.0,SES000006,19,40,Social,Desktop,False,
7,2023-07-13,876.0,SES000007,14,31,Social,Desktop,False,
8,2023-12-02,476.0,SES000008,4,19,Paid,Tablet,False,
9,2023-03-24,,SES000009,8,48,Social,Tablet,False,
10,2023-12-07,1289.0,SES000010,18,29,Direct,Mobile,False,
11,2024-11-11,1055.0,SES000011,12,47,Social,Tablet,False,
12,2024-10-30,1326.0,SES000012,5,7,Direct,Tablet,False,
13,2023-01-24,1575.0,SES000013,18,10,Social,Tablet,False,
14,2024-09-07,174.0,SES000014,5,7,Referral,Tablet,False,
15,2023-12-09,,SES000015,14,56,Paid,Tablet,False,
16,2023-02-12,,SES000016,11,60,Referral,Mobile,False,
17,2023-11-15,625.0,SES000017,10,42,Paid,Desktop,False,
18,2023-09-08,,SES000018,12,42,Direct,Desktop,False,
19,2023-08-10,,SES000019,4,2,Organic,Desktop,False,
20,2024-06-05,1010.0,SES000020,10,3,Referral,Mobile,False,
21,2024-02-05,,SES000021,15,56,Referral,Mobile,False,
22,2023-04-24,954.0,SES000022,20,19,Referral,Mobile,False,
23,2023-04-04,,SES000023,16,16,Direct,Desktop,False,
24,2024-10-28,,SES000024,18,38,Organic,Desktop,False,
25,2023-12-15,1607.0,SES000025,2,2,Direct,Mobile,False,
26,2023-03-17,,SES000026,4,59,Paid,Mobile,False,
27,2023-09-08,430.0,SES000027,18,35,Organic,Desktop,False,
28,2024-11-06,1233.0,SES000028,6,38,Organic,Mobile,False,
29,2024-01-15,1976.0,SES000029,3,1,Referral,Tablet,False,
30,2024-03-19,,SES000030,3,59,Direct,Mobile,False,
31,2024-08-06,1930.0,SES000031,16,19,Social,Tablet,False,
32,2024-09-16,1299.0,SES000032,11,11,Referral,Mobile,False,
33,2023-03-01,1609.0,SES000033,6,39,Direct,Desktop,False,
34,2024-11-29,140.0,SES000034,14,21,Organic,Tablet,False,
35,2024-05-07,1394.0,SES000035,18,14,Referral,Tablet,False,
36,2024-08-18,1005.0,SES000036,14,59,Direct,Desktop,False,
37,2023-11-02,,SES000037,8,18,Referral,Desktop,False,
38,2024-05-02,473.0,SES000038,17,16,Referral,Desktop,False,
39,2023-01-04,,SES000039,4,5,Social,Desktop,False,
40,2024-06-25,,SES000040,2,60,Social,Desktop,False,
